Sales_U,Sales_USD,Date
0,0,JAN0591.1
0,0,JAN1291.1
0,0,JAN1991.1
0,0,JAN2691.1
0,0,FEB0291.1
0,0,FEB0991.1
0,0,FEB1691.1
0,0,FEB2391.1
0,0,MAR0291.1
0,0,MAR0991.1
0,0,MAR1691.1
0,0,MAR2391.1
0,0,MAR3091.1
0,0,APR0691.1
0,0,APR1391.1
0,0,APR2091.1
5560,5988,APR2791.1
5342,5815,MAY0491.1
13864,13792,MAY1191.1
10071,10769,MAY1891.1
9729,9945,MAY2591.1
8064,8906,JUN0191.1
5778,6424,JUN0891.1
6664,7471,JUN1591.1
4859,5372,JUN2291.1
11577,12397,JUN2991.1
15774,16879,JUL0691.1
9444,10846,JUL1391.1
8213,9570,JUL2091.1
6388,7541,JUL2791.1
6348,7432,AUG0391.1
6188,7303,AUG1091.1
19104,18807,AUG1791.1
11573,14052,AUG2491.1
5553,6374,AUG3191.1
5383,6382,SEP0791.1
5860,7035,SEP1491.1
7246,8103,SEP2191.1
18576,18320,SEP2891.1
9441,11449,OCT0591.1
6061,7140,OCT1291.1
5882,6902,OCT1991.1
6118,6933,OCT2691.1
8781,9945,NOV0291.1
7403,8298,NOV0991.1
4347,5081,NOV1691.1
14731,13569,NOV2391.1
16365,15538,NOV3091.1
5007,5809,DEC0791.1
5262,6143,DEC1491.1
20158,18840,DEC2191.1
13189,13226,DEC2891.1
10130,9955,JAN0492.1
7547,8340,JAN1192.1
5922,6834,JAN1892.1
10882,11857,JAN2592.1
7989,9004,FEB0192.1
4968,5682,FEB0892.1
4199,4943,FEB1592.1
5937,7094,FEB2292.1
16500,16023,FEB2992.1
11439,12793,MAR0792.1
8214,8841,MAR1492.1
7284,8203,MAR2192.1
4485,5218,MAR2892.1
5064,5858,APR0492.1
13411,12933,APR1192.1
11052,11792,APR1892.1
6226,7142,APR2592.1
6990,8130,MAY0292.1
7785,9073,MAY0992.1
7170,8334,MAY1692.1
12438,13391,MAY2392.1
6684,7452,MAY3092.1
6028,7023,JUN0692.1
7885,8653,JUN1392.1
6822,7704,JUN2092.1
20857,20585,JUN2792.1
25596,25274,JUL0492.1
7676,8659,JUL1192.1
4490,5154,JUL1892.1
6181,7208,JUL2592.1
7354,8269,AUG0192.1
7169,7982,AUG0892.1
6679,7819,AUG1592.1
6076,7161,AUG2292.1
6065,6837,AUG2992.1
137463,68044,SEP0592.1
44240,36297,SEP1292.1
6421,7221,SEP1992.1
5864,6627,SEP2692.1
4190,4942,OCT0392.1
4155,4824,OCT1092.1
6269,7155,OCT1792.1
7341,8370,OCT2492.1
6794,7764,OCT3192.1
5377,6325,NOV0792.1
4978,5926,NOV1492.1
24591,25351,NOV2192.1
26307,22230,NOV2892.1
5405,6355,DEC0592.1
4574,5370,DEC1292.1
22139,16494,DEC1992.1
24197,22797,DEC2692.1
